# cu        rbx       run       rm        sipm_ch   uhtr_ch   shunt     max_adc   max_fc    result    
2         0         1         3         31        43        31        62        569.80    0         
2         0         1         3         32        44        31        61        545.00    0         
2         0         1         3         33        45        31        50        352.20    0         
2         0         1         3         34        46        31        58        470.60    0         
2         0         1         3         35        47        31        60        520.20    0         
2         0         1         3         36        48        31        57        445.80    0         
2         0         1         3         37        49        31        48        327.40    0         
2         0         1         3         38        50        31        57        445.80    0         
2         0         1         3         39        51        31        56        426.60    0         
2         0         1         3         40        52        31        59        495.40    0         
2         0         1         3         41        53        31        61        545.00    0         
2         0         1         3         42        54        31        59        495.40    0         
2         0         1         3         43        55        31        70        678.20    0         
2         0         1         3         44        56        31        58        470.60    0         
2         0         1         3         45        57        31        55        414.20    0         
2         0         1         3         46        58        31        62        569.80    0         
2         0         1         3         47        59        31        62        569.80    0         
2         0         1         4         0         84        31        37        191.00    0         
2         0         1         4         1         85        31        46        302.60    0         
2         0         1         4         2         86        31        46        302.60    0         
2         0         1         4         3         87        31        50        352.20    0         
2         0         1         4         4         88        31        45        290.20    0         
2         0         1         4         5         89        31        52        377.00    0         
2         0         1         4         6         90        31        46        302.60    0         
2         0         1         4         7         91        31        47        315.00    0         
2         0         1         4         8         92        31        40        228.20    0         
2         0         1         4         9         93        31        39        215.80    0         
2         0         1         4         10        94        31        49        339.80    0         
2         0         1         4         11        95        31        48        327.40    0         
2         0         1         4         12        96        31        49        339.80    0         
2         0         1         4         13        97        31        50        352.20    0         
2         0         1         4         14        98        31        48        327.40    0         
2         0         1         4         15        99        31        46        302.60    0         
2         0         1         4         16        100       31        52        377.00    0         
2         0         1         4         17        101       31        49        339.80    0         
2         0         1         4         18        102       31        52        377.00    0         
2         0         1         4         19        103       31        45        290.20    0         
2         0         1         4         20        104       31        54        401.80    0         
2         0         1         4         21        105       31        51        364.60    0         
2         0         1         4         22        106       31        53        389.40    0         
2         0         1         4         23        107       31        52        377.00    0         
2         0         1         4         24        108       31        49        339.80    0         
2         0         1         4         25        109       31        50        352.20    0         
2         0         1         4         26        110       31        52        377.00    0         
2         0         1         4         27        111       31        46        302.60    0         
2         0         1         4         28        112       31        49        339.80    0         
2         0         1         4         29        113       31        50        352.20    0         
2         0         1         4         30        114       31        56        426.60    0         
2         0         1         4         31        115       31        48        327.40    0         
2         0         1         4         32        116       31        47        315.00    0         
2         0         1         4         33        117       31        38        203.40    0         
2         0         1         4         34        118       31        50        352.20    0         
2         0         1         4         35        119       31        41        240.60    0         
2         0         1         4         36        120       31        49        339.80    0         
2         0         1         4         37        121       31        57        445.80    0         
2         0         1         4         38        122       31        51        364.60    0         
2         0         1         4         39        123       31        50        352.20    0         
2         0         1         4         40        124       31        33        156.90    0         
2         0         1         4         41        125       31        51        364.60    0         
2         0         1         4         42        126       31        51        364.60    0         
2         0         1         4         43        127       31        45        290.20    0         
2         0         1         4         44        128       31        52        377.00    0         
2         0         1         4         45        129       31        50        352.20    0         
2         0         1         4         46        130       31        43        265.40    0         
2         0         1         4         47        131       31        55        414.20    0         
2         0         2         1         0         12        31        38        203.40    0         
2         0         2         1         1         13        31        49        339.80    0         
2         0         2         1         2         14        31        50        352.20    0         
2         0         2         1         3         15        31        46        302.60    0         
