# CU        RBX       Run       RM        sipm_ch   uhtr_ch   shunt     max_adc   max_fc    result    
6         0         3         1         4         16        31        230       143872.00 1         
6         0         3         1         5         17        31        233       162918.40 1         
6         0         3         1         6         18        31        228       131174.40 1         
6         0         3         1         7         19        31        228       131174.40 1         
6         0         3         1         8         20        31        226       123026.40 1         
6         0         3         1         9         21        31        225       119852.00 1         
6         0         3         1         10        22        31        230       143872.00 1         
6         0         3         1         11        23        31        235       175616.00 1         
6         0         3         1         12        24        31        236       181964.80 1         
6         0         3         1         13        25        31        235       175616.00 1         
6         0         3         1         14        26        31        227       126200.80 1         
6         0         3         1         15        27        31        228       131174.40 1         
6         0         3         1         16        28        31        229       137523.20 1         
6         0         3         1         17        29        31        236       181964.80 1         
6         0         3         1         18        30        31        231       150220.80 1         
6         0         3         1         19        31        31        219       100805.60 1         
6         0         3         1         20        32        31        230       143872.00 1         
6         0         3         1         21        33        31        227       126200.80 1         
6         0         3         1         22        34        31        230       143872.00 1         
6         0         3         1         23        35        31        227       126200.80 1         
6         0         3         1         24        36        31        230       143872.00 1         
6         0         3         1         25        37        31        233       162918.40 1         
6         0         3         1         26        38        31        228       131174.40 1         
6         0         3         1         27        39        31        232       156569.60 1         
6         0         3         1         28        40        31        232       156569.60 1         
6         0         3         1         29        41        31        229       137523.20 1         
6         0         3         1         30        42        31        230       143872.00 1         
6         0         3         1         31        43        31        232       156569.60 1         
6         0         3         1         32        44        31        221       107154.40 1         
6         0         3         1         33        45        31        229       137523.20 1         
6         0         3         1         34        46        31        237       188313.60 1         
6         0         3         1         35        47        31        219       100805.60 1         
6         0         3         1         36        48        31        232       156569.60 1         
6         0         3         1         37        49        31        231       150220.80 1         
6         0         3         1         38        50        31        233       162918.40 1         
6         0         3         1         39        51        31        230       143872.00 1         
6         0         3         1         40        52        31        219       100805.60 1         
6         0         3         1         41        53        31        232       156569.60 1         
6         0         3         1         42        54        31        228       131174.40 1         
6         0         3         1         43        55        31        234       169267.20 1         
6         0         3         1         44        56        31        230       143872.00 1         
6         0         3         1         45        57        31        229       137523.20 1         
6         0         3         1         46        58        31        232       156569.60 1         
6         0         3         1         47        59        31        234       169267.20 1         
6         0         3         2         0         84        31        227       126200.80 1         
6         0         3         2         1         85        31        232       156569.60 1         
6         0         3         2         2         86        31        230       143872.00 1         
6         0         3         2         3         87        31        223       113503.20 1         
6         0         3         2         4         88        31        229       137523.20 1         
6         0         3         2         5         89        31        222       110328.80 1         
6         0         3         2         6         90        31        230       143872.00 1         
6         0         3         2         7         91        31        230       143872.00 1         
6         0         3         2         8         92        31        226       123026.40 1         
6         0         3         2         9         93        31        230       143872.00 1         
6         0         3         2         10        94        31        218       97631.20  1         
6         0         3         2         11        95        31        233       162918.40 1         
6         0         3         2         12        96        31        228       131174.40 1         
6         0         3         2         13        97        31        229       137523.20 1         
6         0         3         2         14        98        31        231       150220.80 1         
6         0         3         2         15        99        31        228       131174.40 1         
6         0         3         2         16        100       31        230       143872.00 1         
6         0         3         2         17        101       31        231       150220.80 1         
6         0         3         2         18        102       31        225       119852.00 1         
6         0         3         2         19        103       31        213       81759.20  1         
6         0         3         2         20        104       31        227       126200.80 1         
6         0         3         2         21        105       31        226       123026.40 1         
