# cu        rbx       run       rm        sipm_ch   uhtr_ch   shunt     max_adc   max_pc    result    
6         0         3         2         0         84        31        213       940.23    1         
6         0         3         2         1         85        31        210       830.71    1         
6         0         3         2         2         86        31        211       867.22    1         
6         0         3         2         3         87        31        209       794.21    1         
6         0         3         2         4         88        31        214       976.74    1         
6         0         3         2         5         89        31        209       794.21    1         
6         0         3         2         6         90        31        215       1013.24   1         
6         0         3         2         7         91        31        211       867.22    1         
6         0         3         2         8         92        31        217       1086.25   1         
6         0         3         2         9         93        31        212       903.73    1         
6         0         3         2         10        94        31        200       602.50    1         
6         0         3         2         11        95        31        211       867.22    1         
6         0         3         2         12        96        31        211       867.22    1         
6         0         3         2         13        97        31        210       830.71    1         
6         0         3         2         14        98        31        219       1159.26   1         
6         0         3         2         15        99        31        207       730.27    1         
6         0         3         2         16        100       31        218       1122.76   1         
6         0         3         2         17        101       31        197       547.74    1         
6         0         3         2         18        102       31        213       940.23    1         
6         0         3         2         19        103       31        210       830.71    1         
6         0         3         2         20        104       31        202       639.00    1         
6         0         3         2         21        105       31        198       565.99    1         
6         0         3         2         22        106       31        207       730.27    1         
6         0         3         2         23        107       31        206       712.02    1         
6         0         3         2         24        108       31        218       1122.76   1         
6         0         3         2         25        109       31        210       830.71    1         
6         0         3         2         26        110       31        211       867.22    1         
6         0         3         2         27        111       31        213       940.23    1         
6         0         3         2         28        112       31        213       940.23    1         
6         0         3         2         30        114       31        221       1232.28   1         
6         0         3         2         31        115       31        208       757.70    1         
6         0         3         2         32        116       31        207       730.27    1         
6         0         3         2         33        117       31        208       757.70    1         
6         0         3         2         34        118       31        216       1049.75   1         
6         0         3         2         35        119       31        209       794.21    1         
6         0         3         2         36        120       31        204       675.51    1         
6         0         3         2         38        122       31        199       584.25    1         
6         0         3         2         39        123       31        207       730.27    1         
6         0         3         2         40        124       31        203       657.26    1         
6         0         3         2         41        125       31        209       794.21    1         
6         0         3         2         42        126       31        216       1049.75   1         
6         0         3         2         43        127       31        211       867.22    1         
6         0         3         2         44        128       31        212       903.73    1         
6         0         3         2         45        129       31        215       1013.24   1         
6         0         3         2         46        130       31        212       903.73    1         
6         0         3         2         47        131       31        212       903.73    1         
6         0         3         3         0         12        31        209       794.21    1         
6         0         3         3         1         13        31        213       940.23    1         
